siRNA,mRNA,efficacy
Huesken_A2259,NM_005450,0.72
Huesken_A2260,NM_005450,0.427
Huesken_A2261,NM_005450,0.514
Huesken_A2262,NM_005450,0.602
Huesken_A2263,NM_005450,0.528
Huesken_A2264,NM_005450,0.874
Huesken_A2265,NM_005450,0.822
Huesken_A2266,NM_007019,0.845
Huesken_A2267,NM_007019,0.905
Huesken_A2268,NM_007019,0.78
Huesken_A2269,NM_007019,0.896
Huesken_A2270,NM_007019,0.865
Huesken_A2271,NM_007019,0.761
Huesken_A2272,NM_007019,0.908
Huesken_A2273,NM_007019,0.931
Huesken_A2274,NM_007019,0.663
Huesken_A2275,NM_007019,0.942
Huesken_A2276,NM_007019,0.888
Huesken_A2277,NM_007019,0.861
Huesken_A2278,NM_007019,0.928
Huesken_A2279,NM_007019,0.755
Huesken_A2280,NM_007019,0.786
Huesken_A2281,NM_007019,0.819
Huesken_A2282,NM_007019,0.797
Huesken_A2283,NM_007019,0.454
Huesken_A2284,NM_007019,0.565
Huesken_A2285,NM_007019,0.488
Huesken_A2286,NM_007019,0.321
Huesken_A2287,NM_007019,0.42
Huesken_A2288,NM_007019,0.508
Huesken_A2289,NM_007019,0.555
Huesken_A2290,NM_007019,0.286
Huesken_A2291,NM_007019,0.611
Huesken_A2292,NM_007019,0.633
Huesken_A2293,NM_007019,0.718
Huesken_A2294,NM_007019,0.462
Huesken_A2295,NM_007019,0.742
Huesken_A2296,NM_007019,0.858
Huesken_A2297,NM_007019,0.492
Huesken_A2298,NM_007019,0.757
Huesken_A2299,NM_007019,0.396
Huesken_A2300,NM_007019,0.83
Huesken_A2301,NM_007019,0.116
Huesken_A2302,NM_007019,0.772
Huesken_A2303,NM_007019,0.894
Huesken_A2304,NM_007019,0.531
Huesken_A2305,NM_007019,0.634
Huesken_A2306,NM_007019,0.844
Huesken_A2307,NM_007019,0.51
Huesken_A2308,NM_007019,0.409
Huesken_A2309,NM_007019,0.743
Huesken_A2310,NM_007019,0.467
Huesken_A2311,NM_007019,0.709
Huesken_A2312,NM_007019,0.576
Huesken_A2313,NM_007019,0.937
Huesken_A2314,NM_007019,0.474
Huesken_A2315,NM_007019,0.613
Huesken_A2316,NM_007019,0.878
Huesken_A2317,NM_007019,0.769
Huesken_A2318,NM_007019,0.857
Huesken_A2319,NM_007019,0.677
Huesken_A2320,NM_007019,0.87
Huesken_A2321,NM_007019,0.672
Huesken_A2322,NM_007019,0.69
Huesken_A2323,NM_007019,0.869
Huesken_A2324,NM_007019,0.602
Huesken_A2325,NM_007019,0.913
Huesken_A2326,NM_007019,0.924
Huesken_A2327,NM_007019,0.806
Huesken_A2328,NM_007019,0.758
Huesken_A2329,NM_007019,0.809
Huesken_A2330,NM_007019,0.717
Huesken_A2331,NM_007019,0.464
Huesken_A2332,NM_007019,0.772
Huesken_A2333,NM_007019,0.822
Huesken_A2334,NM_007019,0.881
Huesken_A2335,NM_007019,0.869
Huesken_A2336,NM_007019,0.904
Huesken_A2337,NM_007019,0.975
Huesken_A2338,NM_007019,0.852
Huesken_A2339,NM_007019,0.845
Huesken_A2340,NM_007019,0.807
Huesken_A2341,NM_007019,0.621
Huesken_A2342,NM_002559,0.844
Huesken_A2343,NM_002559,0.677
Huesken_A2344,NM_002559,0.679
Huesken_A2345,NM_002559,0.955
Huesken_A2346,NM_002559,0.941
Huesken_A2347,NM_002559,0.802
Huesken_A2348,NM_002559,0.93
Huesken_A2349,NM_002559,0.949
Huesken_A2350,NM_002559,0.658
Huesken_A2351,NM_002559,0.937
Huesken_A2352,NM_002559,0.706
Huesken_A2353,NM_002559,0.929
Huesken_A2354,NM_002559,0.748
Huesken_A2355,NM_002559,0.914
Huesken_A2356,NM_002559,0.135
Huesken_A2357,NM_002559,0.238
Huesken_A2358,NM_002559,0.718
Huesken_A2359,NM_002559,0.674
Huesken_A2360,NM_002559,0.443
Huesken_A2361,NM_002559,0.969
Huesken_A2362,NM_002559,1.0
Huesken_A2363,NM_002559,0.792
Huesken_A2364,NM_002559,0.989
Huesken_A2365,NM_002559,0.859
Huesken_A2366,NM_002559,0.13
Huesken_A2367,NM_002559,0.431
Huesken_A2368,NM_002559,0.339
Huesken_A2369,NM_002559,0.534
Huesken_A2370,NM_002559,0.612
Huesken_A2371,NM_002559,0.822
Huesken_A2372,NM_002559,0.468
Huesken_A2373,NM_002559,0.747
Huesken_A2374,NM_002559,0.393
Huesken_A2375,NM_002559,0.251
Huesken_A2376,NM_002559,0.649
Huesken_A2377,NM_002559,0.818
Huesken_A2378,NM_002559,0.627
Huesken_A2379,NM_002559,0.771
Huesken_A2380,NM_002559,0.873
Huesken_A2381,NM_002559,0.995
Huesken_A2382,NM_002559,0.829
Huesken_A2383,NM_002559,0.68
Huesken_A2384,NM_002559,0.903
Huesken_A2385,NM_002559,0.802
Huesken_A2386,NM_002559,0.614
Huesken_A2387,NM_002559,0.385
Huesken_A2388,NM_002559,0.371
Huesken_A2389,NM_002559,0.683
Huesken_A2390,NM_002559,0.642
Huesken_A2391,NM_002559,0.86
Huesken_A2392,NM_002559,0.98
Huesken_A2393,NM_002559,0.563
Huesken_A2394,NM_002559,0.771
Huesken_A2395,NM_002559,0.554
Huesken_A2396,NM_002559,0.597
Huesken_A2397,NM_002559,0.373
Huesken_A2398,NM_002559,0.678
Huesken_A2399,NM_002559,0.334
Huesken_A2400,NM_002559,0.372
Huesken_A2401,NM_002559,0.759
Huesken_A2402,NM_002559,0.352
Huesken_A2403,NM_002559,0.399
Huesken_A2404,NM_002559,0.781
Huesken_A2405,NM_002559,0.905
Huesken_A2406,NM_002559,0.334
Huesken_A2407,NM_002559,0.663
Huesken_A2408,NM_002559,0.796
Huesken_A2409,NM_002559,0.888
Huesken_A2410,NM_002559,0.487
Huesken_A2411,NM_002559,0.502
Huesken_A2412,NM_002559,0.419
Huesken_A2413,NM_002559,0.592
Huesken_A2414,NM_002559,0.42
Huesken_A2415,NM_002559,0.723
Huesken_A2416,NM_002559,0.164
Huesken_A2417,NM_002559,0.855
Huesken_A2418,NM_002559,0.541
Huesken_A2419,NM_002559,0.746
Huesken_A2420,NM_002559,0.728
Huesken_A2421,NM_002559,0.702
Huesken_A2422,NM_002559,0.086
Huesken_A2423,NM_002559,0.5
Huesken_A2424,NM_002559,0.892
Huesken_A2425,NM_002559,0.873
Huesken_A2426,NM_002559,0.162
Huesken_A2427,NM_002559,0.894
Huesken_A2428,NM_002559,0.723
Huesken_A2429,NM_002559,0.918
Huesken_A2430,NM_002559,0.62
Huesken_A2431,NM_002559,0.607
Katoh_1,EGFP,0.547
Katoh_2,EGFP,0.777
Katoh_3,EGFP,0.602
Katoh_4,EGFP,0.386
Katoh_5,EGFP,0.651
Katoh_6,EGFP,0.445
Katoh_7,EGFP,0.536
Katoh_8,EGFP,0.756
Katoh_9,EGFP,0.423
Katoh_10,EGFP,0.563
Katoh_11,EGFP,0.74
Katoh_12,EGFP,0.525
Katoh_13,EGFP,0.316
Katoh_14,EGFP,0.662
Katoh_15,EGFP,0.393
Katoh_16,EGFP,0.122
Katoh_17,EGFP,0.501
Katoh_18,EGFP,0.66
Katoh_19,EGFP,0.511
Katoh_20,EGFP,0.606
Katoh_21,EGFP,0.484
Katoh_22,EGFP,0.336
Katoh_23,EGFP,0.55
Katoh_24,EGFP,0.295
Katoh_25,EGFP,0.254
Katoh_26,EGFP,0.449
Katoh_27,EGFP,0.305
Katoh_28,EGFP,0.284
Katoh_29,EGFP,0.477
Katoh_30,EGFP,0.324
Katoh_31,EGFP,0.17
Katoh_32,EGFP,0.61
Katoh_33,EGFP,0.426
Katoh_34,EGFP,0.273
Katoh_35,EGFP,0.525
Katoh_36,EGFP,0.303
Katoh_37,EGFP,0.176
Katoh_38,EGFP,0.542
Katoh_39,EGFP,0.398
Katoh_40,EGFP,0.34
Katoh_41,EGFP,0.641
Katoh_42,EGFP,0.593
Katoh_43,EGFP,0.314
Katoh_44,EGFP,0.488
Katoh_45,EGFP,0.339
Katoh_46,EGFP,0.306
Katoh_47,EGFP,0.768
Katoh_48,EGFP,0.715
Katoh_49,EGFP,0.25
Katoh_50,EGFP,0.289
Katoh_51,EGFP,0.522
Katoh_52,EGFP,0.593
Katoh_53,EGFP,0.447
Katoh_54,EGFP,0.571
Katoh_55,EGFP,0.372
Katoh_56,EGFP,0.324
Katoh_57,EGFP,0.351
Katoh_58,EGFP,0.447
Katoh_59,EGFP,0.686
Katoh_60,EGFP,0.709
Katoh_61,EGFP,0.44
Katoh_62,EGFP,0.5
Katoh_63,EGFP,0.579
Katoh_64,EGFP,0.536
Katoh_65,EGFP,0.538
Katoh_66,EGFP,0.684
Katoh_67,EGFP,0.829
Katoh_68,EGFP,0.552
Katoh_69,EGFP,0.418
Katoh_70,EGFP,0.427
Katoh_71,EGFP,0.681
Katoh_72,EGFP,0.638
Katoh_73,EGFP,0.592
Katoh_74,EGFP,0.747
Katoh_75,EGFP,0.842
Katoh_76,EGFP,0.564
Katoh_77,EGFP,0.532
Katoh_78,EGFP,0.575
Katoh_79,EGFP,0.404
Katoh_80,EGFP,0.733
Katoh_81,EGFP,0.495
Katoh_82,EGFP,0.395
Katoh_83,EGFP,0.342
Katoh_84,EGFP,0.493
Katoh_85,EGFP,0.492
Katoh_86,EGFP,0.389
Katoh_87,EGFP,0.392
Katoh_88,EGFP,0.4
Katoh_89,EGFP,0.513
Katoh_90,EGFP,0.528
Katoh_91,EGFP,0.444
Katoh_92,EGFP,0.348
Katoh_93,EGFP,0.303
Katoh_94,EGFP,0.387
Katoh_95,EGFP,0.335
Katoh_96,EGFP,0.293
Katoh_97,EGFP,0.306
Katoh_98,EGFP,0.397
Katoh_99,EGFP,0.163
Katoh_100,EGFP,0.393
Katoh_101,EGFP,0.285
Katoh_102,EGFP,0.362
Katoh_103,EGFP,0.326
Katoh_104,EGFP,0.247
Katoh_105,EGFP,0.321
Katoh_106,EGFP,0.487
Katoh_107,EGFP,0.396
Katoh_108,EGFP,0.544
Katoh_109,EGFP,0.313
Katoh_110,EGFP,0.468
Katoh_111,EGFP,0.193
Katoh_112,EGFP,0.453
Katoh_113,EGFP,0.558
Katoh_114,EGFP,0.347
Katoh_115,EGFP,0.391
Katoh_116,EGFP,0.677
Katoh_117,EGFP,0.308
Katoh_118,EGFP,0.485
Katoh_119,EGFP,0.75
Katoh_120,EGFP,0.646
Katoh_121,EGFP,0.626
Katoh_122,EGFP,0.696
Katoh_123,EGFP,0.718
Katoh_124,EGFP,0.917
Katoh_125,EGFP,0.873
Katoh_126,EGFP,0.752
Katoh_127,EGFP,0.698
Katoh_128,EGFP,0.501
Katoh_129,EGFP,0.435
Katoh_130,EGFP,0.789
Katoh_131,EGFP,0.79
Katoh_132,EGFP,0.681
Katoh_133,EGFP,0.674
Katoh_134,EGFP,0.454
Katoh_135,EGFP,0.53
Katoh_136,EGFP,0.587
Katoh_137,EGFP,0.384
Katoh_138,EGFP,0.131
Katoh_139,EGFP,0.218
Katoh_140,EGFP,0.485
Katoh_141,EGFP,0.407
Katoh_142,EGFP,0.06
Katoh_143,EGFP,0.043
Katoh_144,EGFP,0.324
Katoh_145,EGFP,0.038
Katoh_146,EGFP,0.354
Katoh_147,EGFP,0.208
Katoh_148,EGFP,0.047
Katoh_149,EGFP,0.388
Katoh_150,EGFP,0.196
Katoh_151,EGFP,0.168
Katoh_152,EGFP,0.462
Katoh_153,EGFP,0.276
Katoh_154,EGFP,0.307
Katoh_155,EGFP,0.56
Katoh_156,EGFP,0.463
Katoh_157,EGFP,0.18
Katoh_158,EGFP,0.085
Katoh_159,EGFP,0.288
Katoh_160,EGFP,0.264
Katoh_161,EGFP,0.237
Katoh_162,EGFP,0.15
Katoh_163,EGFP,0.084
Katoh_164,EGFP,0.051
Katoh_165,EGFP,0.292
Katoh_166,EGFP,0.0
Katoh_167,EGFP,0.0
Katoh_168,EGFP,0.228
Katoh_169,EGFP,0.253
Katoh_170,EGFP,0.309
Katoh_171,EGFP,0.243
Katoh_172,EGFP,0.713
Katoh_173,EGFP,0.51
Katoh_174,EGFP,0.439
Katoh_175,EGFP,0.204
Katoh_176,EGFP,0.339
Katoh_177,EGFP,0.265
Katoh_178,EGFP,0.372
Katoh_179,EGFP,0.424
Katoh_180,EGFP,0.507
Katoh_181,EGFP,0.57
Katoh_182,EGFP,0.518
Katoh_183,EGFP,0.471
Katoh_184,EGFP,0.661
Katoh_185,EGFP,0.418
Katoh_186,EGFP,0.3
Katoh_187,EGFP,0.452
Katoh_188,EGFP,0.568
Katoh_189,EGFP,0.743
Katoh_190,EGFP,0.671
Katoh_191,EGFP,0.558
Katoh_192,EGFP,0.48
Katoh_193,EGFP,0.563
Katoh_194,EGFP,0.58
Katoh_195,EGFP,0.601
Katoh_196,EGFP,0.557
Katoh_197,EGFP,0.701
Katoh_198,EGFP,0.597
Katoh_199,EGFP,0.565
Katoh_200,EGFP,0.621
Katoh_201,EGFP,0.591
Katoh_202,EGFP,0.718
Katoh_203,EGFP,0.507
Katoh_204,EGFP,0.795
Katoh_205,EGFP,0.902
Katoh_206,EGFP,0.82
Katoh_207,EGFP,0.736
Katoh_208,EGFP,0.812
Katoh_209,EGFP,0.871
Katoh_210,EGFP,0.58
Katoh_211,EGFP,0.586
Katoh_212,EGFP,0.763
Katoh_213,EGFP,0.601
Katoh_214,EGFP,0.366
Katoh_215,EGFP,0.584
Katoh_216,EGFP,0.373
Katoh_217,EGFP,0.336
Katoh_218,EGFP,0.447
Katoh_219,EGFP,0.444
Katoh_220,EGFP,0.407
Katoh_221,EGFP,0.448
Katoh_222,EGFP,0.397
Katoh_223,EGFP,0.309
Katoh_224,EGFP,0.628
Katoh_225,EGFP,0.327
Katoh_226,EGFP,0.405
Katoh_227,EGFP,0.508
Katoh_228,EGFP,0.624
Katoh_229,EGFP,0.501
Katoh_230,EGFP,0.707
Katoh_231,EGFP,0.672
Katoh_232,EGFP,0.645
Katoh_233,EGFP,0.827
Katoh_234,EGFP,0.662
Katoh_235,EGFP,0.674
Katoh_236,EGFP,0.635
Katoh_237,EGFP,0.647
Katoh_238,EGFP,0.51
Katoh_239,EGFP,0.529
Katoh_240,EGFP,0.635
Katoh_241,EGFP,0.778
Katoh_242,EGFP,0.765
Katoh_243,EGFP,0.782
Katoh_244,EGFP,0.758
Katoh_245,EGFP,0.521
Katoh_246,EGFP,0.44
Katoh_247,EGFP,0.568
Katoh_248,EGFP,0.589
Katoh_249,EGFP,0.514
Katoh_250,EGFP,0.312
Katoh_251,EGFP,0.439
Katoh_252,EGFP,0.51
Katoh_253,EGFP,0.374
Katoh_254,EGFP,0.472
Katoh_255,EGFP,0.488
Katoh_256,EGFP,0.408
Katoh_257,EGFP,0.471
Katoh_258,EGFP,0.866
Katoh_259,EGFP,0.461
Katoh_260,EGFP,0.677
Katoh_261,EGFP,0.619
Katoh_262,EGFP,0.676
Katoh_263,EGFP,0.558
Katoh_264,EGFP,0.373
Katoh_265,EGFP,0.176
Katoh_266,EGFP,0.53
Katoh_267,EGFP,0.394
Katoh_268,EGFP,0.442
Katoh_269,EGFP,0.379
Katoh_270,EGFP,0.439
Katoh_271,EGFP,0.383
Katoh_272,EGFP,0.508
Katoh_273,EGFP,0.432
Katoh_274,EGFP,0.687
Katoh_275,EGFP,0.574
Katoh_276,EGFP,0.452
Katoh_277,EGFP,0.374
Katoh_278,EGFP,0.678
Katoh_279,EGFP,0.54
Katoh_280,EGFP,0.79
Katoh_281,EGFP,0.682
Katoh_282,EGFP,0.564
Katoh_283,EGFP,0.568
Katoh_284,EGFP,0.938
Katoh_285,EGFP,0.609
Katoh_286,EGFP,0.726
Katoh_287,EGFP,0.748
Katoh_288,EGFP,0.499
Katoh_289,EGFP,0.705
Katoh_290,EGFP,0.792
Katoh_291,EGFP,0.571
Katoh_292,EGFP,0.604
Katoh_293,EGFP,0.827
Katoh_294,EGFP,0.402
Katoh_295,EGFP,0.377
Katoh_296,EGFP,0.292
Katoh_297,EGFP,0.314
Katoh_298,EGFP,0.447
Katoh_299,EGFP,0.691
Katoh_300,EGFP,0.575
Katoh_301,EGFP,0.54
Katoh_302,EGFP,0.721
Katoh_303,EGFP,0.471
Katoh_304,EGFP,0.634
Katoh_305,EGFP,0.625
Katoh_306,EGFP,0.532
Katoh_307,EGFP,0.579
Katoh_308,EGFP,0.448
Katoh_309,EGFP,0.804
Katoh_310,EGFP,0.7
Katoh_311,EGFP,0.693
Katoh_312,EGFP,0.496
Katoh_313,EGFP,0.506
Katoh_314,EGFP,0.478
Katoh_315,EGFP,0.534
Katoh_316,EGFP,0.346
Katoh_317,EGFP,0.54
Katoh_318,EGFP,0.748
Katoh_319,EGFP,0.522
Katoh_320,EGFP,0.589
Katoh_321,EGFP,0.449
Katoh_322,EGFP,0.476
Katoh_323,EGFP,0.793
Katoh_324,EGFP,0.719
Katoh_325,EGFP,0.575
Katoh_326,EGFP,0.549
Katoh_327,EGFP,0.281
Katoh_328,EGFP,0.766
Katoh_329,EGFP,0.874
Katoh_330,EGFP,0.666
Katoh_331,EGFP,0.474
Katoh_332,EGFP,0.651
Katoh_333,EGFP,0.401
Katoh_334,EGFP,0.581
Katoh_335,EGFP,0.76
Katoh_336,EGFP,0.681
Katoh_337,EGFP,0.69
Katoh_338,EGFP,0.665
Katoh_339,EGFP,0.518
Katoh_340,EGFP,0.386
Katoh_341,EGFP,0.537
Katoh_342,EGFP,0.59
Katoh_343,EGFP,0.269
Katoh_344,EGFP,0.326
Katoh_345,EGFP,0.253
Katoh_346,EGFP,0.393
Katoh_347,EGFP,0.556
Katoh_348,EGFP,0.443
Katoh_349,EGFP,0.62
Katoh_350,EGFP,0.809
Katoh_351,EGFP,0.384
Katoh_352,EGFP,0.514
Katoh_353,EGFP,0.756
Katoh_354,EGFP,0.66
Katoh_355,EGFP,0.508
Katoh_356,EGFP,0.829
Katoh_357,EGFP,0.641
Katoh_358,EGFP,0.556
Katoh_359,EGFP,0.617
Katoh_360,EGFP,0.577
Katoh_361,EGFP,0.713
Katoh_362,EGFP,0.777
Katoh_363,EGFP,0.694
Katoh_364,EGFP,0.525
Katoh_365,EGFP,0.701
Katoh_366,EGFP,0.375
Katoh_367,EGFP,0.809
Katoh_368,EGFP,0.837
Katoh_369,EGFP,0.727
Katoh_370,EGFP,0.467
Katoh_371,EGFP,0.52
Katoh_372,EGFP,0.655
Katoh_373,EGFP,0.605
Katoh_374,EGFP,0.8
Katoh_375,EGFP,0.665
Katoh_376,EGFP,0.744
Katoh_377,EGFP,0.64
Katoh_378,EGFP,0.595
Katoh_379,EGFP,0.432
Katoh_380,EGFP,0.799
Katoh_381,EGFP,0.582
Katoh_382,EGFP,0.83
Katoh_383,EGFP,0.919
Katoh_384,EGFP,0.517
Katoh_385,EGFP,0.196
Katoh_386,EGFP,0.442
Katoh_387,EGFP,0.422
Katoh_388,EGFP,0.537
Katoh_389,EGFP,0.868
Katoh_390,EGFP,0.629
Katoh_391,EGFP,0.682
Katoh_392,EGFP,0.907
Katoh_393,EGFP,0.715
Katoh_394,EGFP,0.31
Katoh_395,EGFP,0.686
Katoh_396,EGFP,0.407
Katoh_397,EGFP,0.152
Katoh_398,EGFP,0.806
Katoh_399,EGFP,0.817
Katoh_400,EGFP,0.282
Katoh_401,EGFP,0.842
Katoh_402,EGFP,0.553
Katoh_403,EGFP,0.686
Katoh_404,EGFP,0.844
Katoh_405,EGFP,0.77
Katoh_406,EGFP,0.395
Katoh_407,EGFP,0.555
Katoh_408,EGFP,0.451
Katoh_409,EGFP,0.329
Katoh_410,EGFP,0.646
Katoh_411,EGFP,0.267
Katoh_412,EGFP,0.909
Katoh_413,EGFP,0.649
Katoh_414,EGFP,0.508
Katoh_415,EGFP,0.888
Katoh_416,EGFP,0.9
Katoh_417,EGFP,0.859
Katoh_418,EGFP,0.735
Katoh_419,EGFP,0.777
Katoh_420,EGFP,0.776
Katoh_421,EGFP,0.742
Katoh_422,EGFP,0.816
Katoh_423,EGFP,0.7
Katoh_424,EGFP,0.763
Katoh_425,EGFP,0.563
Katoh_426,EGFP,0.74
Katoh_427,EGFP,0.853
Katoh_428,EGFP,0.812
Katoh_429,EGFP,0.758
Katoh_430,EGFP,0.692
Katoh_431,EGFP,0.7
Katoh_432,EGFP,0.682
Katoh_433,EGFP,0.685
Katoh_434,EGFP,0.914
Katoh_435,EGFP,0.855
Katoh_436,EGFP,0.793
Katoh_437,EGFP,0.919
Katoh_438,EGFP,0.783
Katoh_439,EGFP,0.731
Katoh_440,EGFP,0.743
Katoh_441,EGFP,0.72
Katoh_442,EGFP,0.759
Katoh_443,EGFP,0.967
Katoh_444,EGFP,0.879
Katoh_445,EGFP,0.646
Katoh_446,EGFP,0.275
Katoh_447,EGFP,0.53
Katoh_448,EGFP,0.336
Katoh_449,EGFP,0.687
Katoh_450,EGFP,0.555
Katoh_451,EGFP,0.438
Katoh_452,EGFP,0.697
Katoh_453,EGFP,0.605
Katoh_454,EGFP,0.341
Katoh_455,EGFP,0.855
Katoh_456,EGFP,0.611
Katoh_457,EGFP,0.661
Katoh_458,EGFP,0.729
Katoh_459,EGFP,0.38
Katoh_460,EGFP,0.625
Katoh_461,EGFP,0.822
Katoh_462,EGFP,0.632
Katoh_463,EGFP,0.908
Katoh_464,EGFP,0.839
Katoh_465,EGFP,0.76
Katoh_466,EGFP,0.843
Katoh_467,EGFP,0.729
Katoh_468,EGFP,0.723
Katoh_469,EGFP,0.789
Katoh_470,EGFP,0.732
Katoh_471,EGFP,0.621
Katoh_472,EGFP,0.733
Katoh_473,EGFP,0.825
Katoh_474,EGFP,0.684
Katoh_475,EGFP,0.706
Katoh_476,EGFP,0.915
Katoh_477,EGFP,0.743
Katoh_478,EGFP,0.593
Katoh_479,EGFP,0.87
Katoh_480,EGFP,0.706
Katoh_481,EGFP,0.941
Katoh_482,EGFP,0.906
Katoh_483,EGFP,0.855
Katoh_484,EGFP,0.771
Katoh_485,EGFP,0.96
Katoh_486,EGFP,0.937
Katoh_487,EGFP,0.939
Katoh_488,EGFP,0.933
Katoh_489,EGFP,0.726
Katoh_490,EGFP,0.568
Katoh_491,EGFP,0.781
Katoh_492,EGFP,0.75
Katoh_493,EGFP,0.658
Katoh_494,EGFP,0.845
Katoh_495,EGFP,0.69
Katoh_496,EGFP,0.819
Katoh_497,EGFP,0.8
Katoh_498,EGFP,0.576
Katoh_499,EGFP,0.622
Katoh_500,EGFP,0.802
Katoh_501,EGFP,0.579
Katoh_502,EGFP,0.368
Katoh_503,EGFP,0.778
Katoh_504,EGFP,0.292
Katoh_505,EGFP,0.364
Katoh_506,EGFP,0.734
Katoh_507,EGFP,0.505
Katoh_508,EGFP,0.426
Katoh_509,EGFP,0.498
Katoh_510,EGFP,0.411
Katoh_511,EGFP,0.221
Katoh_512,EGFP,0.467
Katoh_513,EGFP,0.556
Katoh_514,EGFP,0.299
Katoh_515,EGFP,0.375
Katoh_516,EGFP,0.275
Katoh_517,EGFP,0.201
Katoh_518,EGFP,0.262
Katoh_519,EGFP,0.4
Katoh_520,EGFP,0.305
Katoh_521,EGFP,0.315
Katoh_522,EGFP,0.279
Katoh_523,EGFP,0.156
Katoh_524,EGFP,0.458
Katoh_525,EGFP,0.305
Katoh_526,EGFP,0.362
Katoh_527,EGFP,0.621
Katoh_528,EGFP,0.545
Katoh_529,EGFP,0.569
Katoh_530,EGFP,0.564
Katoh_531,EGFP,0.512
Katoh_532,EGFP,0.499
Katoh_533,EGFP,0.646
Katoh_534,EGFP,0.344
Katoh_535,EGFP,0.323
Katoh_536,EGFP,0.741
Katoh_537,EGFP,0.387
Katoh_538,EGFP,0.587
Katoh_539,EGFP,0.782
Katoh_540,EGFP,0.575
Katoh_541,EGFP,0.778
Katoh_542,EGFP,0.792
Katoh_543,EGFP,0.526
Katoh_544,EGFP,0.467
Katoh_545,EGFP,0.376
Katoh_546,EGFP,0.531
Katoh_547,EGFP,0.646
Katoh_548,EGFP,0.559
Katoh_549,EGFP,0.378
Katoh_550,EGFP,0.305
Katoh_551,EGFP,0.288
Katoh_552,EGFP,0.294
Katoh_553,EGFP,0.531
Katoh_554,EGFP,0.566
Katoh_555,EGFP,0.338
Katoh_556,EGFP,0.185
Katoh_557,EGFP,0.208
Katoh_558,EGFP,0.194
Katoh_559,EGFP,0.363
Katoh_560,EGFP,0.175
Katoh_561,EGFP,0.128
Katoh_562,EGFP,0.038
Katoh_563,EGFP,0.102
Katoh_564,EGFP,0.334
Katoh_565,EGFP,0.357
Katoh_566,EGFP,0.285
Katoh_567,EGFP,0.351
Katoh_568,EGFP,0.189
Katoh_569,EGFP,0.42
Katoh_570,EGFP,0.404
Katoh_571,EGFP,0.265
Katoh_572,EGFP,0.196
Katoh_573,EGFP,0.14
Katoh_574,EGFP,0.211
Katoh_575,EGFP,0.365
Katoh_576,EGFP,0.483
Katoh_577,EGFP,0.385
Katoh_578,EGFP,0.772
Katoh_579,EGFP,0.799
Katoh_580,EGFP,0.625
Katoh_581,EGFP,0.868
Katoh_582,EGFP,0.729
Katoh_583,EGFP,0.542
Katoh_584,EGFP,0.567
Katoh_585,EGFP,0.504
Katoh_586,EGFP,0.513
Katoh_587,EGFP,0.61
Katoh_588,EGFP,0.527
Katoh_589,EGFP,0.819
Katoh_590,EGFP,0.904
Katoh_591,EGFP,0.462
Katoh_592,EGFP,0.524
Katoh_593,EGFP,0.629
Katoh_594,EGFP,0.406
Katoh_595,EGFP,0.796
Katoh_596,EGFP,0.98
Katoh_597,EGFP,0.758
Katoh_598,EGFP,0.513
Katoh_599,EGFP,0.369
Katoh_600,EGFP,0.671
Katoh_601,EGFP,0.647
Katoh_602,EGFP,0.7
Katoh_603,EGFP,0.406
Katoh_604,EGFP,0.42
Katoh_605,EGFP,0.498
Katoh_606,EGFP,0.449
Katoh_607,EGFP,0.432
Katoh_608,EGFP,0.648
Katoh_609,EGFP,0.516
Katoh_610,EGFP,0.518
Katoh_611,EGFP,0.341
Katoh_612,EGFP,0.738
Katoh_613,EGFP,0.778
Katoh_614,EGFP,0.839
Katoh_615,EGFP,0.806
Katoh_616,EGFP,0.549
Katoh_617,EGFP,0.45
Katoh_618,EGFP,0.596
Katoh_619,EGFP,0.524
Katoh_620,EGFP,0.804
Katoh_621,EGFP,0.588
Katoh_622,EGFP,0.502
Katoh_623,EGFP,0.811
Katoh_624,EGFP,0.796
Katoh_625,EGFP,0.824
Katoh_626,EGFP,0.921
Katoh_627,EGFP,0.715
Katoh_628,EGFP,0.146
Katoh_629,EGFP,0.113
Katoh_630,EGFP,0.172
Katoh_631,EGFP,0.318
Katoh_632,EGFP,0.846
Katoh_633,EGFP,0.846
Katoh_634,EGFP,0.744
Katoh_635,EGFP,0.839
Katoh_636,EGFP,0.787
Katoh_637,EGFP,0.777
Katoh_638,EGFP,0.832
Katoh_639,EGFP,0.826
Katoh_640,EGFP,0.588
Katoh_641,EGFP,0.476
Katoh_642,EGFP,0.611
Katoh_643,EGFP,0.433
Katoh_644,EGFP,0.617
Katoh_645,EGFP,0.474
Katoh_646,EGFP,0.291
Katoh_647,EGFP,0.387
Katoh_648,EGFP,0.505
Katoh_649,EGFP,0.629
Katoh_650,EGFP,0.765
Katoh_651,EGFP,0.362
Katoh_652,EGFP,0.788
Katoh_653,EGFP,0.564
Katoh_654,EGFP,0.719
Katoh_655,EGFP,0.308
Katoh_656,EGFP,0.862
Katoh_657,EGFP,0.745
Katoh_658,EGFP,0.441
Katoh_659,EGFP,0.852
Katoh_660,EGFP,0.527
Katoh_661,EGFP,0.757
Katoh_662,EGFP,0.369
Katoh_663,EGFP,0.309
Katoh_664,EGFP,0.398
Katoh_665,EGFP,0.329
Katoh_666,EGFP,0.401
Katoh_667,EGFP,0.283
Katoh_668,EGFP,0.3
